A5表 都道府県別集計,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,9652,14.95 ,14.95 ,204,1087,1325,1372,1380,1683,1411,1175,15,7400,2204,48,289,1462,7814,310,7504,2364,185,2348,2607,87,6611,647,314,697,103,1279,1,6057,432,416,1147,208,1384,8,739,531,720,703,566,872,856,834,826,586,443,468,1508,1424,1410,1341,1325,1327,1388,1296,141,1681,6383,664,340,483,108,509,2206,3032,4944,1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,452,15.63 ,15.63 ,9,48,57,70,68,90,67,43,0,320,131,1,17,73,359,8,351,114,13,117,107,3,322,23,16,31,1,59,0,292,16,29,39,5,70,1,28,17,19,19,21,38,43,34,34,13,20,14,152,68,61,50,71,61,66,52,23,97,256,40,20,28,4,20,125,156,205,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,110,15.00 ,15.00 ,1,9,4,22,17,19,21,17,0,90,19,1,11,13,86,1,85,19,3,47,16,0,75,1,3,18,5,8,0,68,7,3,5,2,25,0,4,4,7,7,9,16,8,16,10,2,2,4,21,16,16,20,15,17,11,13,2,9,57,7,3,1,1,5,47,32,58,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,117,20.11 ,20.11 ,0,7,8,14,12,17,26,33,0,102,15,0,7,11,99,1,98,25,2,41,30,0,78,1,4,16,3,14,1,80,6,3,6,0,22,0,8,7,12,6,9,15,10,8,10,9,3,6,14,18,17,11,16,15,19,20,1,13,77,8,3,4,0,6,38,41,53,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,161,15.83 ,15.83 ,4,21,27,21,29,23,18,18,0,130,31,0,3,27,131,6,125,48,4,34,39,0,103,11,8,19,2,18,0,104,8,6,18,2,23,0,12,6,13,14,4,14,10,16,22,14,5,12,19,20,17,25,25,24,26,22,2,39,108,15,5,11,1,8,29,58,84,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,116,20.04 ,20.04 ,3,9,13,4,10,20,29,28,0,105,11,0,7,14,95,5,90,12,0,52,26,0,89,1,8,9,0,9,0,86,5,8,3,1,13,0,5,8,3,6,4,11,6,10,6,7,2,3,45,18,14,11,21,16,21,14,1,9,65,6,3,5,0,2,41,21,70,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,91,15.02 ,15.02 ,1,12,7,9,9,12,22,19,0,83,8,0,1,12,78,1,77,19,2,41,15,0,67,0,6,14,1,3,0,55,5,5,3,0,22,1,9,5,5,11,4,10,10,10,10,5,2,3,7,10,14,15,11,10,14,14,3,18,81,8,5,3,2,7,9,28,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,174,17.87 ,17.87 ,5,10,22,17,32,28,22,38,0,148,26,0,3,29,141,6,135,39,11,54,31,1,109,3,14,21,3,24,0,101,6,13,16,0,38,0,11,6,20,12,15,20,12,17,19,7,9,11,15,32,21,29,20,25,22,23,2,50,118,15,11,5,1,11,23,44,101,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
