A5表 都道府県別集計,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,9306,14.32 ,14.32 ,205,1044,1326,1232,1370,1651,1355,1100,23,7247,1978,81,326,1397,7484,268,7216,2284,186,2238,2508,99,5823,709,473,777,138,1385,1,4947,506,570,1214,304,1748,17,733,538,666,738,540,799,802,832,756,589,478,525,1310,1250,1394,1321,1335,1303,1298,1240,165,1418,6376,732,254,405,94,479,2044,2752,4884,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,468,16.07 ,16.07 ,15,52,60,69,84,71,63,54,0,362,104,2,18,71,377,17,360,119,11,110,120,2,317,12,22,40,8,69,0,304,9,25,35,7,85,3,59,30,27,28,28,31,47,28,34,30,17,29,80,59,67,63,70,59,81,58,11,73,262,34,14,30,12,23,140,143,224,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,137,18.42 ,18.42 ,1,5,19,22,20,31,17,22,0,116,20,1,18,22,97,1,96,20,2,39,35,0,90,2,9,21,1,14,0,75,11,5,5,2,39,0,13,12,9,8,5,11,13,16,15,4,5,6,20,21,23,17,21,20,17,15,3,15,69,14,4,1,0,4,53,31,81,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,148,21.02 ,21.02 ,3,7,14,13,22,28,37,24,0,126,20,2,14,19,115,3,112,23,0,56,33,0,107,1,4,18,5,13,0,98,5,4,10,1,30,0,15,7,20,9,14,10,16,14,10,9,1,4,19,21,23,23,19,19,14,26,3,12,82,8,4,3,1,5,69,68,35,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,165,13.77 ,13.77 ,6,26,17,26,20,23,25,22,0,131,34,0,2,30,133,5,128,37,3,31,57,0,95,17,16,19,3,15,0,79,11,16,22,4,33,0,18,9,8,13,12,14,14,10,14,13,10,11,19,20,34,33,30,14,18,12,4,31,128,17,6,13,2,5,22,43,84,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,133,22.56 ,22.56 ,1,8,13,8,14,27,28,34,0,112,21,0,7,19,107,1,106,13,1,41,51,0,93,1,11,8,1,19,0,92,7,8,2,1,23,0,3,2,8,7,9,8,22,13,14,11,1,6,29,29,20,13,23,14,15,19,0,11,87,10,1,0,0,11,27,27,99,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,108,17.58 ,17.58 ,0,10,10,11,18,16,19,24,0,96,12,0,4,11,93,0,93,24,3,40,26,0,73,1,6,13,2,13,0,61,6,6,4,0,31,0,7,9,7,12,5,10,8,14,12,5,2,7,10,12,20,14,14,18,13,17,0,19,107,12,0,6,0,16,6,27,55,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,163,15.40 ,15.40 ,3,12,16,19,24,32,33,24,0,143,19,1,8,19,135,3,132,41,4,53,34,1,110,3,12,18,4,16,0,88,10,12,6,5,42,0,11,9,15,18,13,16,11,16,8,11,6,9,20,20,23,20,24,25,15,35,1,24,99,13,10,5,2,15,38,41,96,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
