,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,茨城県,216,14.50 ,14.50 ,7,19,36,30,28,36,32,28,0,177,39,0,2,36,176,8,168,50,8,39,71,2,149,9,15,10,7,26,0,126,24,19,14,4,28,1,21,11,19,13,8,17,27,15,18,13,3,9,42,22,30,36,30,32,37,27,2,26,138,13,5,7,2,3,55,54,108,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,栃木県,156,15.53 ,15.53 ,5,10,31,17,16,25,26,26,0,138,18,0,2,27,127,4,123,40,2,55,26,0,115,3,11,14,4,9,0,88,16,12,13,4,23,0,11,12,12,11,11,10,16,6,15,10,5,6,31,19,24,18,21,15,29,26,4,34,145,7,6,4,4,10,0,31,92,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,156,15.38 ,15.38 ,5,13,15,26,24,27,23,23,0,125,31,0,7,16,133,5,128,40,4,12,72,0,116,3,9,8,0,20,0,97,22,10,8,2,17,0,5,3,9,6,6,10,12,9,7,8,7,2,72,21,28,18,20,25,21,17,6,23,130,10,7,4,3,12,2,54,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,521,14.74 ,14.74 ,14,52,91,68,73,103,67,53,0,426,95,0,17,69,433,15,418,117,12,172,117,2,334,43,25,48,6,65,0,258,26,29,83,27,97,1,27,32,53,32,33,57,41,33,49,45,24,34,61,68,91,56,66,67,83,75,15,102,463,40,7,23,4,30,8,187,300,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,446,14.55 ,14.55 ,7,36,54,66,65,98,71,49,0,358,87,1,4,53,389,11,378,143,4,74,157,0,308,20,14,33,4,67,0,249,27,24,59,11,76,0,27,31,43,31,31,39,42,47,43,28,18,21,45,66,63,61,65,62,69,56,4,73,282,26,16,22,2,14,116,149,227,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,953,15.00 ,15.00 ,23,131,159,141,130,182,108,78,1,682,265,6,36,163,738,44,694,225,13,122,334,16,585,151,8,33,2,174,0,522,37,37,199,42,115,1,83,61,72,56,57,78,70,77,73,68,48,51,159,141,149,132,121,128,133,133,16,121,544,69,29,52,15,29,341,263,468,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,561,12.72 ,12.72 ,15,58,91,84,86,115,73,39,0,428,127,6,16,68,469,20,449,220,10,53,166,8,389,28,11,17,9,107,0,329,18,27,85,31,71,0,27,24,20,22,27,39,41,33,38,34,20,14,222,72,70,76,73,77,86,67,40,86,316,36,18,29,2,14,205,193,292,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,217,17.63 ,17.63 ,3,16,16,25,29,29,44,55,0,185,32,0,7,21,188,8,180,44,2,81,53,1,154,4,8,21,1,29,0,138,13,6,14,4,42,0,18,10,20,18,15,21,23,22,25,15,7,8,15,31,26,37,25,40,28,29,1,25,115,12,2,7,1,11,85,51,107,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,111,19.55 ,19.55 ,0,9,13,10,13,22,26,18,0,95,16,0,3,19,89,1,88,30,3,29,26,0,68,0,7,25,1,10,0,59,7,5,3,3,34,0,3,8,10,6,8,17,8,10,6,6,6,3,20,21,15,18,23,8,11,14,1,26,99,13,2,5,0,7,3,22,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,76,12.62 ,12.62 ,2,8,11,14,9,13,8,11,0,60,16,0,0,9,64,2,62,18,2,17,25,3,43,4,5,7,4,13,0,41,4,4,9,1,17,0,5,3,5,7,5,4,11,10,5,1,2,6,12,11,11,9,11,16,11,7,0,16,46,5,0,0,1,6,19,28,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
