A5表 都道府県別集計,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成21年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,23179,37.32 ,37.32 ,356,2395,3423,3970,5046,4244,2293,1297,155,15729,6945,505,2858,7686,11998,666,11332,0,2124,3753,5455,637,11977,867,2714,1102,1175,5344,0,14646,517,2921,1646,514,2919,16,2019,1368,1996,1806,1224,1641,1737,1556,1589,1234,989,1170,4850,2971,3679,3427,3242,3201,3176,2693,790,2664,9404,7562,2253,710,267,1121,6188,3106,14437,5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,1090,41.42 ,41.42 ,16,110,166,193,280,161,103,61,0,759,330,1,165,408,507,33,474,0,86,172,216,10,540,16,162,46,55,271,0,698,8,181,49,15,139,0,124,72,82,73,61,73,85,73,59,46,44,51,247,160,163,175,141,146,141,130,34,133,346,347,127,42,10,46,325,143,681,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,382,56.72 ,56.72 ,4,28,38,71,102,74,43,22,0,303,79,0,59,122,200,4,196,0,48,66,82,1,204,1,68,29,13,67,0,240,14,68,9,5,45,1,27,15,42,25,23,24,37,35,28,17,13,16,80,55,66,56,49,51,48,47,10,38,101,118,21,8,1,4,171,41,291,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,338,51.91 ,51.91 ,5,37,54,41,87,59,24,31,0,265,67,6,51,117,170,10,160,0,42,56,62,0,191,1,64,10,28,44,0,221,5,66,9,2,35,0,44,14,33,29,21,29,21,30,26,16,15,10,50,36,59,57,54,51,47,26,8,46,105,97,36,9,4,15,135,96,114,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,483,42.63 ,42.63 ,10,53,85,81,128,68,37,21,0,355,124,4,59,197,223,15,208,0,51,43,114,4,224,16,103,32,23,85,0,276,15,102,26,5,59,0,42,28,38,37,28,31,42,35,25,30,24,20,103,50,79,62,64,81,80,50,17,71,214,260,80,21,10,16,46,59,303,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,287,54.22 ,54.22 ,4,18,40,43,76,45,39,22,0,231,56,0,49,89,149,3,146,0,23,47,76,0,163,0,54,12,14,44,0,201,9,47,6,1,23,0,6,7,15,13,24,25,13,19,23,15,8,18,101,29,47,54,38,35,48,30,6,20,92,97,20,6,1,12,89,25,229,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,229,40.12 ,40.12 ,4,13,34,44,54,33,27,20,0,185,44,0,38,66,124,8,116,0,27,45,44,1,130,0,40,11,11,37,0,155,6,30,6,3,29,0,21,12,29,21,11,17,14,13,27,12,12,16,24,25,44,42,29,31,27,28,3,45,138,96,22,9,3,22,20,35,131,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,439,43.68 ,43.68 ,6,49,64,73,117,65,45,20,0,354,84,1,67,151,219,8,211,0,53,76,82,2,221,6,76,28,31,77,0,266,8,88,24,6,47,0,43,18,61,31,20,28,32,23,50,20,17,19,77,59,72,48,71,77,60,42,10,59,149,178,31,13,1,18,121,65,305,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
