,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,茨城県,437,29.52 ,29.44 ,13,43,68,77,76,81,43,36,0,322,113,2,48,139,245,14,231,0,35,68,128,5,260,7,63,7,13,87,0,302,16,60,19,6,34,0,52,22,41,39,19,36,39,31,27,20,11,22,78,65,73,65,71,63,48,48,4,66,212,96,50,8,9,20,92,54,233,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,栃木県,332,33.51 ,33.42 ,10,31,43,65,73,48,42,20,0,243,87,2,29,100,200,14,186,0,16,85,85,3,198,7,48,12,11,56,0,224,16,45,15,5,27,0,16,16,19,20,14,18,27,20,23,18,13,12,116,46,60,42,58,40,34,32,20,55,179,109,34,14,8,43,48,44,233,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,342,34.76 ,34.66 ,12,34,41,70,62,66,32,25,0,230,111,1,41,103,196,12,184,0,33,41,110,2,200,3,33,21,15,70,0,226,11,39,15,5,46,0,25,5,5,10,10,19,22,16,15,14,7,8,186,46,47,48,55,49,42,29,26,60,181,79,29,14,4,28,8,66,260,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,1043,29.01 ,28.93 ,28,141,150,205,180,169,124,46,0,703,336,4,81,335,617,55,562,0,92,225,245,10,592,41,93,57,30,230,0,663,21,112,71,36,140,0,59,61,88,93,56,84,86,94,69,70,41,61,181,139,152,153,162,134,136,109,58,80,579,253,87,31,29,53,41,195,702,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,854,27.72 ,27.65 ,28,99,124,167,138,157,89,50,2,565,281,8,64,292,490,42,448,0,69,144,235,8,509,26,66,23,22,208,0,553,16,89,74,28,93,1,54,51,82,75,39,78,76,59,60,26,34,42,178,128,123,128,112,116,117,90,40,108,307,225,85,30,18,35,298,142,560,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,1795,28.55 ,28.47 ,40,252,289,363,298,282,182,85,4,990,777,28,186,579,970,98,872,0,114,167,591,60,960,194,65,96,37,443,0,1135,20,97,281,54,208,0,137,104,143,120,87,87,106,129,120,89,86,93,494,250,300,265,230,241,235,194,80,184,567,382,175,51,38,56,746,234,880,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,1194,26.65 ,26.57 ,23,153,154,259,201,218,134,52,0,764,420,10,109,409,656,56,600,0,89,161,350,20,704,35,78,28,38,311,0,800,13,109,96,42,134,0,117,58,90,78,49,72,83,81,66,74,46,55,325,161,177,167,126,171,196,167,29,136,377,238,144,36,17,75,481,195,764,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,441,38.45 ,38.35 ,6,52,45,58,87,94,62,37,0,331,110,0,56,140,242,14,228,0,33,105,90,3,288,4,36,20,15,78,0,339,6,34,15,4,42,1,30,16,44,34,25,42,46,39,36,28,14,17,70,43,72,68,61,57,77,53,10,59,118,70,37,5,8,23,213,61,284,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,179,34.06 ,33.97 ,2,13,26,30,42,32,19,15,0,144,34,1,19,67,92,2,90,0,20,38,32,1,103,0,24,16,3,33,0,117,2,21,6,1,31,1,14,8,14,13,12,21,9,13,19,10,10,10,26,26,34,20,34,22,20,20,3,22,88,49,24,6,0,20,32,27,133,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,166,29.75 ,29.67 ,3,20,17,25,30,39,23,9,0,119,46,1,18,46,99,9,90,0,11,29,50,3,96,4,12,10,6,38,0,120,1,16,13,2,14,0,5,8,15,14,10,14,21,15,15,11,3,6,29,23,28,17,24,25,22,20,7,21,51,46,16,2,6,11,61,25,97,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
