A5表 都道府県別集計,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,18586,29.70 ,29.70 ,373,2010,2628,3303,3262,3192,2349,1377,92,12445,5867,274,1883,5975,10323,665,9658,0,1096,4024,4538,405,10590,807,1475,884,841,3983,6,12892,335,1623,1471,341,1904,20,1566,970,1484,1440,971,1247,1443,1349,1294,961,746,810,4305,2384,3049,2824,2624,2533,2455,2085,632,2448,7837,4093,2055,549,271,1036,5134,2820,11466,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,844,32.66 ,32.66 ,17,90,125,137,156,136,118,65,0,548,290,6,92,296,450,33,417,0,57,193,167,6,455,28,114,41,30,176,0,580,7,116,42,4,95,0,51,27,38,37,42,39,54,60,41,35,24,26,370,117,139,129,106,113,110,89,41,107,227,220,109,32,15,42,319,154,512,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,231,35.55 ,35.55 ,5,12,19,45,42,51,33,24,0,174,57,0,33,59,139,6,133,0,18,66,49,0,149,0,23,10,11,38,0,172,8,27,5,0,19,0,16,5,21,15,19,16,22,12,25,20,6,12,42,31,49,33,27,37,28,21,5,23,60,44,19,2,2,10,125,23,151,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,259,41.09 ,41.09 ,7,27,30,43,50,43,34,25,0,211,47,1,35,76,145,4,141,0,22,63,56,3,155,1,32,8,18,45,0,185,6,32,12,1,22,1,25,10,16,19,17,16,21,24,17,10,10,19,55,31,51,37,35,32,28,32,13,36,96,50,24,5,1,9,106,60,117,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,326,28.90 ,28.90 ,4,51,63,57,53,48,31,19,0,237,89,0,39,130,156,9,147,0,21,79,47,1,193,11,48,14,10,50,0,224,2,51,18,4,27,0,15,14,24,19,18,27,28,23,17,11,12,15,103,47,48,52,38,45,45,34,17,87,205,76,64,15,6,20,29,52,187,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,193,38.06 ,38.06 ,2,15,32,24,26,36,33,25,0,156,37,0,26,53,113,3,110,0,10,63,37,1,123,1,17,8,6,38,0,149,4,19,8,0,13,0,6,4,8,10,6,8,11,12,7,4,3,4,110,21,39,25,24,30,28,22,4,20,87,35,26,3,0,12,53,18,148,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,198,35.68 ,35.68 ,8,26,25,23,38,36,17,25,0,158,40,0,18,64,113,7,106,0,10,56,40,3,115,1,21,15,9,37,0,146,6,19,7,1,19,0,9,5,19,12,15,11,16,11,12,12,8,13,55,21,40,25,21,35,19,25,12,28,108,50,27,12,4,14,26,30,120,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,318,32.96 ,32.96 ,11,38,46,47,54,53,40,29,0,236,81,1,30,112,176,9,167,0,27,56,84,0,193,6,42,17,18,42,0,213,11,37,16,2,39,0,21,24,33,29,17,26,28,30,19,18,16,6,51,47,54,66,40,42,35,26,8,41,128,48,42,12,6,12,102,42,238,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
