A5表 都道府県別集計,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成24年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,8537,13.17 ,13.13 ,187,820,1092,1190,1238,1522,1403,1073,12,6522,1964,51,251,1304,6921,253,6668,1956,134,2323,2255,61,5749,623,296,597,100,1172,0,5214,350,406,1010,235,1314,8,625,429,622,698,519,803,744,714,721,487,380,396,1399,1146,1275,1163,1182,1256,1193,1170,152,1486,5715,555,289,392,87,446,1872,2598,4479,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,378,13.12 ,13.08 ,7,46,35,57,47,69,64,53,0,273,103,2,17,52,309,10,299,80,8,111,100,0,250,20,10,32,7,59,0,247,14,12,27,6,70,2,23,16,17,19,19,32,30,26,29,21,16,15,115,46,51,63,53,60,50,42,13,72,189,33,19,17,4,17,116,116,195,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,102,14.02 ,13.98 ,2,3,11,9,14,19,22,22,0,86,16,0,3,8,91,1,90,22,2,50,16,0,76,0,6,5,3,12,0,71,4,8,5,1,13,0,7,4,15,8,12,9,4,11,9,2,5,2,14,16,13,16,15,18,15,8,1,16,57,6,4,1,1,8,36,20,57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,101,14.75 ,14.71 ,2,6,9,13,15,17,17,22,0,91,10,0,8,13,80,1,79,16,1,37,25,0,64,0,6,17,1,13,0,60,1,7,11,1,21,0,10,6,8,12,5,10,15,4,13,5,4,0,9,16,15,14,11,14,12,19,0,16,63,6,3,3,2,6,31,36,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,159,13.45 ,13.41 ,3,23,33,15,18,24,23,20,0,127,31,1,8,42,108,5,103,22,1,52,28,1,98,15,9,20,4,13,0,93,9,10,17,3,27,0,12,15,8,9,8,11,6,17,13,11,6,7,36,18,17,23,25,27,16,30,3,43,127,9,9,11,1,10,14,49,90,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,114,19.88 ,19.83 ,4,3,11,9,13,21,22,31,0,99,15,0,3,13,98,4,94,11,1,50,32,0,90,0,4,4,0,16,0,88,3,4,6,0,13,0,2,5,6,3,5,5,2,6,8,2,4,5,61,18,20,9,13,13,20,17,4,10,55,4,0,8,0,1,47,19,76,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,88,14.63 ,14.59 ,0,6,11,9,21,9,16,16,0,72,16,0,1,13,74,2,72,19,3,24,26,0,64,1,4,7,2,10,0,63,2,4,3,3,13,0,4,2,5,10,5,7,7,6,14,5,2,2,19,11,13,10,15,14,9,12,4,12,61,6,1,2,2,8,21,28,41,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,151,14.80 ,14.76 ,2,11,15,21,28,27,20,27,0,132,19,0,9,28,114,3,111,35,7,32,37,0,107,1,18,14,1,10,0,86,9,24,6,1,25,0,12,10,20,14,8,12,21,8,17,6,5,8,10,23,29,20,16,23,20,19,1,36,97,8,2,6,2,10,33,39,93,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
