A5表 都道府県別集計,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,8455,12.85 ,12.85 ,173,772,1041,1241,1177,1480,1410,1147,14,6461,1952,42,231,1257,6905,251,6654,1907,99,2480,2168,62,5618,659,265,622,91,1192,8,5145,345,358,1052,218,1323,14,602,395,629,656,517,722,779,715,675,511,398,396,1460,1123,1261,1279,1176,1185,1160,1117,154,1442,5751,483,254,358,104,407,1818,2604,4395,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,372,12.91 ,12.91 ,8,26,58,55,58,65,59,43,0,264,106,2,18,72,281,10,271,88,5,87,91,1,243,27,15,37,5,45,0,235,16,22,34,1,63,1,25,18,23,12,22,28,23,29,22,14,10,6,140,47,49,64,48,59,42,51,12,69,203,25,22,30,6,18,115,134,175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,95,13.15 ,13.15 ,2,3,6,6,17,10,29,22,0,81,14,0,6,10,79,2,77,10,2,55,10,0,67,2,1,7,2,16,0,61,11,2,3,0,18,0,7,3,7,6,6,9,14,7,9,5,7,8,7,10,15,19,12,17,12,10,0,11,41,4,0,1,1,2,50,26,54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,102,14.92 ,14.92 ,1,2,7,7,12,19,25,29,0,87,15,0,7,6,89,1,88,21,2,46,19,0,78,1,7,10,0,6,0,70,5,6,2,0,19,0,6,2,7,14,5,5,9,14,13,4,2,2,19,13,6,14,11,18,15,21,4,23,55,4,4,0,0,5,42,29,45,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,159,13.35 ,13.35 ,2,27,17,31,24,23,21,14,0,134,25,0,2,27,130,8,122,42,1,54,25,0,100,13,13,16,1,16,0,88,11,15,16,1,28,0,15,8,10,10,10,11,12,18,6,7,12,4,36,30,23,18,21,19,19,25,4,52,136,12,6,10,4,11,8,54,88,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,96,16.87 ,16.87 ,0,5,4,9,14,14,17,33,0,75,21,0,3,12,81,1,80,9,1,53,17,0,71,3,1,7,0,14,0,71,1,2,4,1,16,1,4,2,4,5,4,6,9,5,5,3,3,1,45,13,16,12,14,14,13,11,3,11,62,0,3,3,0,1,25,18,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,87,14.48 ,14.48 ,1,4,7,8,13,15,21,18,0,70,17,0,5,10,72,0,72,11,2,51,8,0,71,1,3,4,0,8,0,62,2,4,4,0,15,0,3,2,7,4,4,14,4,6,4,3,4,5,27,12,10,9,11,21,10,9,5,14,63,6,2,3,0,6,17,19,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,132,13.00 ,13.00 ,1,14,9,15,10,17,20,46,0,114,18,0,5,15,112,0,112,26,3,44,39,0,96,2,4,14,1,15,0,83,11,6,10,1,21,0,9,5,18,16,4,8,13,17,15,5,4,4,14,15,20,24,23,21,15,12,2,16,81,7,0,3,0,8,41,41,76,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
