A5表 都道府県別集計,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成25年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,茨城県,182,12.14 ,12.14 ,4,15,14,39,20,38,28,24,0,146,36,0,3,30,148,5,143,33,3,34,73,1,135,6,6,6,3,26,0,132,12,7,11,3,17,0,16,8,18,20,11,12,16,15,14,10,8,19,15,24,31,38,22,18,31,18,0,31,135,9,13,8,2,8,26,41,87,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,栃木県,140,13.85 ,13.85 ,2,15,11,16,18,20,23,35,0,119,21,0,5,10,125,6,119,29,0,65,25,0,111,5,2,6,4,12,0,102,11,5,7,4,11,0,15,6,10,11,4,10,16,14,10,8,3,3,30,26,15,20,11,22,20,22,4,19,138,2,1,4,3,10,11,31,101,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,166,16.21 ,16.21 ,3,9,16,27,21,34,31,25,0,131,35,0,10,32,124,4,120,36,0,30,54,0,110,5,9,19,1,22,0,92,4,12,12,7,39,0,7,4,6,10,7,13,8,9,8,4,7,6,77,29,21,21,27,22,22,18,6,29,116,8,7,6,1,19,6,51,103,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,509,14.04 ,14.04 ,12,48,60,81,57,105,92,54,0,407,102,0,9,75,425,14,411,97,6,206,102,0,346,39,15,38,3,68,0,280,26,14,64,29,95,1,34,34,44,49,37,43,51,45,41,33,28,20,50,51,80,75,75,83,67,61,17,43,432,22,2,10,2,15,12,188,277,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,363,11.62 ,11.62 ,8,37,55,54,45,80,50,34,0,292,71,0,7,47,309,12,297,112,5,61,119,0,239,24,13,26,3,58,0,218,10,18,51,11,55,0,23,14,41,27,19,35,27,26,32,27,14,31,47,56,57,52,43,55,47,48,5,63,220,22,4,24,3,12,97,129,191,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,957,14.39 ,14.39 ,20,123,157,165,150,145,127,69,1,653,292,12,19,172,748,41,707,221,16,119,351,18,594,130,10,50,5,162,6,499,33,27,208,36,145,9,68,53,64,61,50,64,75,55,79,62,44,40,242,119,139,145,135,140,135,120,24,125,600,60,32,51,21,31,268,305,357,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,487,10.75 ,10.75 ,16,47,72,84,79,81,72,36,0,368,119,0,12,74,396,16,380,182,5,75,118,5,349,28,10,19,4,77,0,310,13,18,54,26,66,0,41,21,30,30,35,29,47,46,29,37,20,32,90,76,75,64,71,78,59,59,5,98,253,18,20,25,3,16,184,160,277,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,213,17.50 ,17.50 ,5,13,17,18,23,42,46,49,0,186,27,0,12,20,181,6,175,42,1,81,51,0,150,4,3,23,4,29,0,135,7,2,13,2,54,0,16,10,24,11,7,26,17,18,22,8,7,12,35,33,35,30,28,32,25,27,3,30,100,7,5,4,3,4,102,42,134,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,90,15.89 ,15.89 ,0,3,7,12,10,19,24,15,0,69,21,0,1,11,78,1,77,18,2,45,12,0,59,1,2,21,0,7,0,53,5,4,4,1,23,0,8,5,12,7,6,9,7,11,7,2,2,4,10,14,11,9,17,13,15,7,4,13,59,5,4,3,0,4,21,13,63,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,69,11.46 ,11.46 ,0,10,4,11,5,11,13,15,0,53,16,0,1,12,56,4,52,17,0,21,14,0,44,1,2,8,1,12,1,41,5,3,8,1,11,0,8,3,1,9,6,5,4,7,9,4,5,2,6,8,11,12,10,8,8,12,0,11,36,4,0,2,1,3,24,18,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,39,9.33 ,9.33 ,0,3,6,5,5,4,8,8,0,30,9,0,3,8,28,0,28,6,1,12,9,0,29,0,5,5,0,0,0,28,1,5,2,0,3,0,1,5,7,3,3,2,3,4,4,3,1,1,2,7,6,7,5,5,3,5,1,7,24,2,2,1,0,5,15,17,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,66,14.96 ,14.96 ,0,1,10,11,7,12,13,12,0,57,9,0,2,12,52,0,52,17,0,13,22,0,50,2,3,4,1,6,0,45,2,5,6,0,7,1,4,2,4,8,6,6,11,6,5,1,4,3,6,7,7,13,6,10,10,11,2,9,45,4,1,1,0,7,15,23,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,126,11.34 ,11.34 ,4,8,14,15,14,25,21,25,0,104,22,0,7,17,102,4,98,22,1,46,29,0,94,3,9,6,1,13,0,85,5,10,7,4,15,0,5,4,7,8,5,6,13,13,10,8,4,2,41,21,16,15,23,19,15,12,5,23,110,11,5,4,2,4,11,30,81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,135,12.49 ,12.49 ,4,15,14,13,21,19,23,26,0,106,29,0,4,26,104,7,97,30,4,43,20,1,96,1,7,14,3,14,0,88,2,9,14,1,21,0,8,3,11,11,10,13,18,12,12,5,6,5,21,20,28,21,14,17,14,16,5,23,67,9,6,8,2,6,46,35,69,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,222,11.50 ,11.50 ,6,21,33,29,32,37,39,25,0,181,41,0,3,41,177,4,173,42,1,58,72,1,151,7,9,19,3,33,0,138,9,12,19,3,41,0,15,10,14,19,20,19,23,21,21,14,9,7,30,26,37,40,31,34,23,30,1,43,133,26,6,15,2,11,62,64,122,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,496,13.31 ,13.31 ,14,50,64,82,63,87,81,55,0,403,90,3,15,73,402,18,384,114,3,176,91,6,324,50,20,38,5,59,0,324,10,26,57,12,67,0,32,28,54,35,27,51,55,37,43,33,17,32,52,62,82,78,71,59,70,69,5,92,375,22,17,22,8,27,69,158,254,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,118,12.30 ,12.30 ,1,9,12,22,16,24,22,12,0,101,16,1,2,13,103,0,103,41,3,17,42,0,77,4,3,13,3,18,0,77,5,3,6,2,25,0,11,8,11,8,12,12,17,16,12,1,7,1,2,19,11,19,19,18,16,16,0,21,86,0,0,5,0,5,14,43,22,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,101,14.03 ,14.03 ,2,7,9,18,16,14,20,15,0,90,11,0,3,13,85,4,81,27,2,32,20,0,65,9,4,8,2,13,0,60,3,6,12,3,17,0,8,6,8,10,7,14,10,8,6,7,7,7,3,14,15,12,16,17,11,16,0,37,92,5,8,4,3,12,2,32,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,161,11.97 ,11.97 ,2,9,12,23,19,35,39,22,0,117,43,1,6,21,133,6,127,41,2,42,42,1,126,12,2,6,0,15,0,116,5,3,16,2,19,0,3,1,5,7,6,6,6,13,15,10,6,2,81,13,28,23,26,19,28,22,2,30,105,7,2,1,2,5,45,43,78,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,554,12.11 ,12.11 ,5,56,83,87,81,94,88,60,0,398,156,0,4,80,469,17,452,109,0,285,58,1,322,132,3,23,2,72,0,301,30,11,143,15,54,0,37,26,33,49,33,60,56,56,55,40,34,30,45,59,87,105,72,70,92,68,1,112,483,34,15,25,5,18,7,178,334,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,387,13.16 ,13.16 ,12,30,35,57,60,79,63,51,0,254,133,0,5,45,336,10,326,60,8,135,123,1,244,45,8,35,5,50,0,219,8,12,56,16,75,1,41,20,27,43,30,44,43,33,23,31,33,16,3,57,51,61,60,38,60,60,0,52,261,19,10,13,2,38,50,120,219,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,80,10.87 ,10.87 ,3,12,6,12,10,11,14,12,0,59,21,0,1,7,72,3,69,20,0,8,41,0,55,7,3,3,1,11,0,55,0,5,10,1,9,0,13,5,6,5,6,3,5,6,12,6,2,5,6,11,10,11,10,12,15,11,0,14,56,3,2,0,2,5,18,27,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,70,13.07 ,13.07 ,2,2,7,10,10,12,15,12,0,52,18,0,1,9,60,1,59,15,0,15,29,0,41,1,6,5,1,16,0,45,3,6,5,3,8,0,4,4,3,6,4,4,9,6,6,3,8,1,12,10,12,13,8,9,9,8,1,9,49,5,0,0,1,4,18,21,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,31,10.07 ,10.07 ,0,1,4,5,0,7,6,8,0,27,4,0,2,4,25,0,25,6,0,12,7,0,21,0,1,3,0,6,0,21,1,1,0,1,7,0,2,1,1,2,3,4,6,2,3,1,2,0,4,6,4,2,5,3,5,6,0,5,15,6,2,1,0,3,10,7,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,56,15.01 ,15.01 ,1,1,4,6,11,11,12,10,0,47,9,0,1,9,46,1,45,17,0,12,16,0,44,0,0,6,1,5,0,45,0,1,1,0,9,0,3,2,7,4,5,6,6,5,5,2,0,0,11,11,7,8,5,8,7,9,1,15,30,2,2,2,1,5,14,10,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,112,11.10 ,11.10 ,2,14,24,13,11,20,11,17,0,82,30,0,6,14,90,5,85,24,4,25,32,2,67,9,5,13,5,13,0,58,8,6,16,2,22,0,10,9,5,16,5,15,10,7,9,3,5,2,16,6,21,12,22,16,17,18,0,26,72,7,3,6,2,5,27,45,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,193,13.00 ,13.00 ,6,10,19,30,37,36,33,22,0,146,46,1,9,32,152,7,145,50,2,68,25,0,120,22,9,13,3,26,0,107,9,9,41,5,22,0,8,12,13,11,11,14,19,13,14,19,8,8,43,32,23,26,22,30,28,28,4,17,133,10,6,4,6,8,55,49,112,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,67,8.78 ,8.78 ,2,5,8,7,6,14,16,9,0,55,12,0,0,9,58,2,56,24,0,21,11,0,38,2,5,4,1,17,0,47,1,3,4,2,10,0,3,1,5,8,2,9,5,4,10,1,3,4,12,8,8,6,9,6,15,14,1,10,62,2,2,1,0,4,7,19,31,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,50,12.17 ,12.17 ,4,3,2,5,9,9,8,10,0,35,15,0,0,11,39,2,37,7,1,15,14,0,36,0,5,2,0,7,0,30,4,4,3,0,9,0,3,0,1,4,4,8,1,6,4,1,2,3,13,4,8,9,7,9,7,6,0,7,19,1,1,2,0,1,22,15,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,67,12.79 ,12.79 ,1,9,5,8,5,16,10,13,0,47,20,0,2,10,55,2,53,10,0,22,21,0,39,1,2,11,1,13,0,32,5,5,5,2,18,0,3,3,6,9,4,3,7,6,5,7,2,3,9,11,12,6,9,5,8,15,1,17,50,4,1,5,1,4,13,16,40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,104,13.70 ,13.70 ,1,9,12,14,18,16,16,18,0,83,21,0,2,18,84,0,84,17,1,36,30,0,71,3,3,1,1,25,0,65,6,3,12,5,13,0,15,5,5,10,8,9,7,14,6,7,10,5,3,9,24,16,14,11,13,15,2,17,58,5,1,3,0,4,40,35,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,53,13.23 ,13.23 ,2,5,4,5,6,12,9,10,0,36,17,0,2,6,45,3,42,8,0,23,11,0,37,2,0,7,1,6,0,37,1,2,4,0,9,0,8,2,2,6,8,3,6,6,3,2,2,3,2,10,6,10,6,7,10,4,0,8,43,0,2,3,1,2,5,17,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,343,12.78 ,12.78 ,5,36,52,51,50,55,55,39,0,258,83,2,3,53,285,9,276,76,3,71,126,2,226,26,13,23,1,54,0,206,14,17,48,5,53,0,27,16,20,29,24,26,38,26,22,28,13,24,50,46,56,43,58,41,41,50,8,67,241,32,15,13,3,18,60,106,164,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,47,10.45 ,10.45 ,0,3,7,6,8,10,6,7,0,38,8,1,3,8,36,1,35,11,1,10,13,0,31,1,0,9,1,5,0,31,1,2,1,0,12,0,9,0,6,3,1,2,8,3,5,3,3,1,3,7,6,13,9,5,5,2,0,8,34,9,3,3,0,2,9,9,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,84,11.08 ,11.08 ,2,4,9,16,17,13,9,14,0,66,18,0,5,16,63,2,61,24,1,18,18,0,51,2,2,11,3,15,0,52,2,1,7,0,22,0,6,2,5,5,4,16,8,7,4,2,9,5,11,11,11,15,10,18,7,10,2,16,44,6,0,3,2,11,28,26,51,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,116,12.04 ,12.04 ,5,16,17,14,14,14,13,23,0,94,22,0,7,14,94,8,86,19,0,48,19,1,78,10,5,5,1,17,0,76,9,5,13,2,11,0,3,6,9,8,4,13,10,15,9,9,7,12,11,18,13,18,15,16,16,18,2,24,95,13,2,8,7,6,19,37,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,73,11.56 ,11.56 ,1,7,6,6,9,16,12,16,0,53,20,0,2,8,63,2,61,13,2,23,23,0,43,3,2,8,1,16,0,47,1,1,6,2,16,0,6,1,6,8,7,4,6,3,11,4,5,3,9,11,9,7,9,10,15,12,0,10,40,5,3,3,1,2,22,21,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,81,13.44 ,13.44 ,1,5,12,12,9,9,13,20,0,57,24,0,1,15,65,1,64,21,1,27,15,0,57,2,8,2,2,10,0,54,6,7,7,0,7,0,3,2,10,7,4,4,5,10,6,7,3,8,12,10,14,13,6,10,17,11,0,21,83,7,4,3,0,3,4,26,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,114,12.63 ,12.63 ,0,13,18,10,16,20,24,13,0,82,32,0,5,21,87,0,87,27,2,27,31,1,75,3,4,8,4,20,0,67,11,8,12,2,14,0,4,6,6,6,12,12,9,10,5,8,4,1,31,13,18,19,16,12,17,13,6,23,70,4,6,9,0,2,33,47,48,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,66,9.04 ,9.04 ,0,6,12,10,17,7,12,2,0,52,14,0,0,9,57,1,56,14,2,13,27,0,47,6,1,3,0,9,0,49,0,1,9,0,7,0,2,4,5,4,5,7,6,5,3,5,2,2,16,7,14,11,12,8,7,6,1,17,44,4,2,3,1,4,14,27,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,不明,24,0.00 ,0.00 ,0,1,0,1,4,4,1,0,13,2,3,19,0,0,4,0,4,1,0,0,3,20,0,2,2,3,1,15,1,8,0,2,5,4,5,0,0,3,1,2,0,0,1,0,2,4,0,1,10,1,3,1,2,3,4,5,5,4,2,4,0,0,0,3,15,2,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
