A5表 都道府県別集計,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成23年確定値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自殺日・住居地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード,都道府県名,自殺者数,自殺死亡率,年換算した自殺死亡率,年齢 (10歳階級）別,,,,,,,,,同居人の有無,,,職業別,,,,,,,,,,場所別,,,,,,,手段別,,,,,,,自殺の時間帯別,,,,,,,,,,,,,自殺の曜日別,,,,,,,,原因・動機別,,,,,,,,自殺未遂歴の有無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20歳未満,20-29,30-39,40-49,50-59,60-69,70-79,80歳以上,不詳,あり,なし,不詳,自営業・家族従業者,被雇用・勤め人,無職,,,,,,,不詳,自宅等,高層ビル,乗物,海（湖）・河川等,山,その他,不詳,首つり,服毒,練炭等,飛降り,飛込み,その他,不詳,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時,不詳,日曜,月曜,火曜,水曜,木曜,金曜,土曜,不詳,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳,あり,なし,不詳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,学生・生徒等,無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,全国,20718,33.60 ,33.60 ,416,2188,3085,3634,3945,3810,2254,1252,134,14010,6357,351,2389,6687,11134,713,10421,0,1614,3634,5173,508,11607,750,1938,914,926,4581,2,14206,412,2097,1495,402,2094,12,1792,1167,1669,1643,1100,1389,1554,1487,1368,1047,898,978,4626,2617,3425,2982,2936,2788,2818,2448,704,2834,8161,5672,2328,647,319,1092,5749,3136,12622,4960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,北海道,946,36.29 ,36.29 ,17,104,141,185,187,168,86,58,0,631,313,2,113,334,485,23,462,0,77,176,209,14,486,26,159,42,21,212,0,621,9,156,53,7,100,0,59,53,53,44,41,49,70,60,52,27,31,42,365,120,148,145,144,122,120,92,55,165,306,305,132,41,10,37,274,135,571,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,青森県,277,41.82 ,41.82 ,7,17,35,46,63,51,32,26,0,214,62,1,36,82,156,6,150,0,30,75,45,3,163,1,44,12,13,44,0,198,7,38,8,1,24,1,17,18,26,21,18,9,25,25,21,24,9,11,53,34,44,37,43,35,31,47,6,43,97,74,22,10,3,19,100,27,178,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,岩手県,274,50.84 ,50.84 ,2,23,30,34,60,56,41,28,0,211,63,0,40,78,156,3,153,0,17,53,83,0,147,1,32,13,23,58,0,192,3,34,16,1,28,0,32,10,28,19,20,24,10,23,27,17,5,12,47,34,50,29,32,41,48,31,9,33,112,79,37,5,2,22,86,79,123,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,宮城県,324,33.69 ,33.69 ,2,43,56,61,49,60,32,20,1,243,75,6,31,123,160,9,151,0,25,48,78,10,164,11,52,8,17,72,0,222,3,49,18,3,28,1,19,18,30,30,13,18,35,17,27,17,11,18,71,36,50,45,49,47,45,40,12,54,142,92,49,15,4,19,74,54,209,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,秋田県,225,43.39 ,43.39 ,3,16,31,39,40,49,30,17,0,176,49,0,35,68,122,6,116,0,12,52,52,0,138,0,39,5,10,33,0,166,4,34,2,0,19,0,8,7,8,13,4,13,14,14,18,8,0,4,114,33,38,40,29,26,24,27,8,17,64,61,13,3,3,6,98,26,137,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,山形県,192,34.10 ,34.10 ,5,20,17,26,39,39,29,17,0,163,28,1,28,54,110,4,106,0,21,51,34,0,118,0,24,5,12,33,0,148,3,19,2,0,20,0,14,7,21,22,10,17,25,21,14,11,5,5,20,22,26,26,39,37,22,20,0,37,108,68,22,5,5,23,22,33,112,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,福島県,337,36.49 ,36.49 ,6,45,45,53,74,53,37,24,0,268,68,1,48,116,171,10,161,0,51,51,59,2,207,2,44,16,18,50,0,237,8,38,16,1,37,0,20,19,31,33,14,29,19,31,33,24,16,19,49,41,45,51,45,50,50,45,10,61,170,99,33,15,6,24,60,40,245,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
