,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,茨城県,512,34.37 ,34.37 ,6,72,93,83,95,89,44,30,0,382,125,5,47,182,272,16,256,0,57,53,146,11,267,12,87,12,22,112,0,308,25,84,21,13,61,0,47,28,29,42,22,24,33,31,29,24,27,31,145,63,83,86,75,69,66,59,11,56,205,99,45,20,3,16,179,69,319,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,栃木県,376,37.73 ,37.73 ,4,34,38,66,90,81,32,31,0,269,106,1,38,114,222,6,216,0,39,98,79,2,198,7,77,25,16,53,0,213,24,61,22,5,51,0,28,20,31,35,17,18,36,22,21,14,20,16,98,44,50,54,58,49,55,54,12,75,219,162,38,16,6,27,24,44,234,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,387,39.07 ,39.07 ,5,40,68,59,69,67,47,32,0,296,91,0,43,112,229,12,217,0,32,38,147,3,206,5,60,28,14,74,0,219,19,70,30,6,43,0,30,8,9,16,14,16,18,16,26,15,6,12,201,43,54,61,57,53,56,42,21,64,215,136,38,19,6,31,5,66,321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,1200,33.44 ,33.44 ,23,145,183,218,211,246,120,54,0,818,379,3,99,417,666,50,616,0,119,245,252,18,665,49,142,70,32,242,0,719,13,150,109,38,170,1,77,89,115,90,60,95,92,66,105,59,55,61,236,160,184,155,179,170,148,133,71,172,640,454,158,48,28,66,38,223,835,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,963,31.22 ,31.22 ,17,114,182,174,172,188,79,37,0,654,303,6,88,331,533,28,505,0,69,115,321,11,515,35,108,48,19,238,0,575,25,130,91,22,120,0,65,56,99,72,55,69,66,64,83,58,39,43,194,94,162,149,123,132,137,117,49,106,318,296,101,30,16,26,334,160,611,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,1996,31.91 ,31.91 ,33,275,350,372,362,366,159,78,1,1106,856,34,199,672,1056,98,958,0,131,183,644,69,1057,209,113,80,38,499,0,1210,27,168,301,73,212,5,204,108,158,151,108,123,114,117,136,119,78,101,479,240,308,321,284,253,311,225,54,154,697,440,184,66,31,52,824,233,1115,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,1336,29.84 ,29.84 ,30,142,211,272,243,252,133,53,0,830,477,29,118,456,716,41,675,0,123,180,372,46,772,43,82,41,37,361,0,910,22,123,111,48,122,0,67,64,69,68,55,66,60,73,56,53,48,50,607,140,209,143,189,178,157,144,176,150,379,327,129,42,10,52,591,185,824,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,510,43.96 ,43.96 ,9,52,72,83,118,81,50,45,0,401,107,2,59,183,266,13,253,0,35,111,107,2,295,6,58,35,16,100,0,324,14,64,24,8,76,0,56,18,47,33,33,42,36,53,36,31,21,23,81,70,86,78,77,65,69,53,12,53,162,98,45,11,6,21,231,77,305,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,172,32.46 ,32.46 ,3,20,26,26,30,40,15,12,0,130,42,0,17,60,93,4,89,0,14,29,46,2,97,6,29,13,8,18,1,109,2,26,11,2,21,1,11,8,18,17,8,15,14,12,17,9,10,10,23,15,40,23,21,17,27,25,4,36,97,69,29,6,3,9,6,21,133,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,210,37.47 ,37.47 ,4,20,32,25,46,42,26,15,0,164,45,1,32,57,116,7,109,0,19,30,60,5,107,4,25,11,12,51,0,143,3,23,13,3,25,0,16,13,17,14,11,20,16,22,20,7,15,10,29,38,35,31,31,23,33,17,2,19,82,60,25,5,1,4,83,35,143,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,129,32.84 ,32.84 ,8,18,9,25,20,19,15,15,0,95,32,2,16,41,71,9,62,0,13,20,29,1,72,2,16,3,1,35,0,92,0,15,5,0,17,0,11,6,13,12,14,7,9,9,11,11,9,5,12,14,22,13,24,15,22,19,0,19,42,33,15,1,6,8,47,13,89,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,180,42.42 ,42.42 ,6,22,23,26,39,36,22,6,0,137,41,2,21,64,92,4,88,0,14,15,59,3,97,2,35,9,6,31,0,113,8,35,7,4,13,0,15,7,15,11,18,19,14,6,13,8,8,5,41,22,31,30,20,22,20,27,8,20,94,63,17,9,5,15,21,18,107,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,375,35.53 ,35.53 ,9,30,52,65,87,63,48,21,0,281,87,7,47,134,192,8,184,0,37,70,77,2,200,2,71,23,26,53,0,233,12,60,19,1,49,1,32,17,28,30,14,19,35,21,18,23,14,13,111,49,61,47,59,58,50,41,10,85,193,147,64,18,4,46,46,57,228,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,319,31.43 ,31.43 ,9,35,51,43,55,66,33,27,0,239,79,1,39,106,170,14,156,0,15,79,62,4,164,3,51,19,20,62,0,206,6,49,19,7,32,0,29,14,31,25,21,20,30,17,23,16,20,11,62,42,50,44,50,44,43,35,11,46,141,96,24,2,10,8,82,39,160,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,636,34.15 ,34.15 ,10,48,97,107,150,127,62,35,0,438,190,8,78,232,317,13,304,0,55,101,148,9,343,11,91,41,34,116,0,397,11,103,33,11,80,1,84,31,43,53,31,34,44,41,47,32,24,29,143,81,118,88,83,83,86,70,27,76,245,210,51,17,10,52,197,83,392,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,1118,30.78 ,30.78 ,28,137,186,208,192,209,108,49,1,718,377,23,99,424,567,50,517,0,73,202,242,28,606,35,120,57,33,267,0,692,8,153,90,30,142,3,129,68,93,77,54,111,95,64,62,55,52,65,193,142,196,161,153,156,145,120,45,158,486,356,146,44,15,44,235,137,657,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,242,26.81 ,26.81 ,4,23,31,39,49,47,28,21,0,173,68,1,24,86,125,5,120,0,6,64,50,7,138,2,28,4,12,58,0,180,0,29,6,2,25,0,23,17,27,18,13,10,24,19,11,8,14,9,49,26,42,33,27,42,38,31,3,35,121,44,26,11,1,13,31,29,79,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,233,34.10 ,34.10 ,2,24,48,43,46,36,26,8,0,157,76,0,19,88,125,9,116,0,12,38,66,1,125,0,38,13,13,44,0,152,5,35,12,4,25,0,16,25,22,20,15,11,19,18,21,8,10,14,34,36,34,27,32,42,33,28,1,46,137,97,57,10,4,31,10,48,166,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,438,35.68 ,35.68 ,8,59,51,87,84,91,42,16,0,285,151,2,70,148,210,25,185,0,35,78,72,10,220,29,48,22,19,100,0,267,8,55,40,8,60,0,20,17,20,26,22,16,31,24,14,13,23,11,201,62,74,53,58,56,52,62,21,53,170,135,43,12,12,15,129,65,238,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,1448,34.30 ,34.30 ,15,150,209,264,280,290,171,69,0,888,550,10,174,421,822,34,788,0,112,376,300,31,762,171,124,47,36,308,0,895,40,138,226,32,116,1,147,90,132,128,90,85,96,95,107,82,74,56,266,202,220,219,197,193,194,179,44,223,922,618,157,52,14,64,110,194,845,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,900,33.47 ,33.47 ,11,99,137,156,179,181,93,44,0,567,320,13,117,258,509,25,484,0,62,160,262,16,393,66,102,46,49,244,0,546,10,107,99,20,118,0,151,67,68,100,66,70,81,60,63,59,60,44,11,121,150,142,132,119,131,104,1,118,389,245,104,27,6,70,140,142,615,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
